ID,year,week,start.date,end.date,district,cases
152,2007,5,2007-01-27,2007-02-02,Badulla,1
153,2007,5,2007-01-27,2007-02-02,Monaragala,0
154,2007,5,2007-01-27,2007-02-02,Ratnapura,3
155,2007,5,2007-01-27,2007-02-02,Kegalle,2
156,2007,5,2007-01-27,2007-02-02,Kalmune,0
157,2007,6,2007-02-03,2007-02-09,Colombo,36
158,2007,6,2007-02-03,2007-02-09,Gampaha,19
159,2007,6,2007-02-03,2007-02-09,Kalutara,8
160,2007,6,2007-02-03,2007-02-09,Kandy,10
161,2007,6,2007-02-03,2007-02-09,Matale,2
162,2007,6,2007-02-03,2007-02-09,NuwaraEliya,0
163,2007,6,2007-02-03,2007-02-09,Galle,4
164,2007,6,2007-02-03,2007-02-09,Hambanthota,2
165,2007,6,2007-02-03,2007-02-09,Matara,2
166,2007,6,2007-02-03,2007-02-09,Jaffna,0
167,2007,6,2007-02-03,2007-02-09,Kilinochchi,0
168,2007,6,2007-02-03,2007-02-09,Mannar,1
169,2007,6,2007-02-03,2007-02-09,Vavuniya,2
170,2007,6,2007-02-03,2007-02-09,Mullaitivu,0
171,2007,6,2007-02-03,2007-02-09,Batticaloa,0
172,2007,6,2007-02-03,2007-02-09,Ampara,0
173,2007,6,2007-02-03,2007-02-09,Trincomalee,1
174,2007,6,2007-02-03,2007-02-09,Kurunegala,8
175,2007,6,2007-02-03,2007-02-09,Puttalam,4
176,2007,6,2007-02-03,2007-02-09,Anuradhapura,1
177,2007,6,2007-02-03,2007-02-09,Polonnaruwa,0
178,2007,6,2007-02-03,2007-02-09,Badulla,1
179,2007,6,2007-02-03,2007-02-09,Monaragala,0
180,2007,6,2007-02-03,2007-02-09,Ratnapura,4
181,2007,6,2007-02-03,2007-02-09,Kegalle,3
182,2007,6,2007-02-03,2007-02-09,Kalmune,0
183,2007,7,2007-02-10,2007-02-16,Colombo,42
184,2007,7,2007-02-10,2007-02-16,Gampaha,5
185,2007,7,2007-02-10,2007-02-16,Kalutara,3
186,2007,7,2007-02-10,2007-02-16,Kandy,5
187,2007,7,2007-02-10,2007-02-16,Matale,4
188,2007,7,2007-02-10,2007-02-16,NuwaraEliya,0
189,2007,7,2007-02-10,2007-02-16,Galle,0
190,2007,7,2007-02-10,2007-02-16,Hambanthota,2
191,2007,7,2007-02-10,2007-02-16,Matara,2
192,2007,7,2007-02-10,2007-02-16,Jaffna,0
193,2007,7,2007-02-10,2007-02-16,Kilinochchi,0
194,2007,7,2007-02-10,2007-02-16,Mannar,0
195,2007,7,2007-02-10,2007-02-16,Vavuniya,0
196,2007,7,2007-02-10,2007-02-16,Mullaitivu,0
197,2007,7,2007-02-10,2007-02-16,Batticaloa,0
198,2007,7,2007-02-10,2007-02-16,Ampara,0
199,2007,7,2007-02-10,2007-02-16,Trincomalee,0
200,2007,7,2007-02-10,2007-02-16,Kurunegala,2
201,2007,7,2007-02-10,2007-02-16,Puttalam,2
202,2007,7,2007-02-10,2007-02-16,Anuradhapura,1
203,2007,7,2007-02-10,2007-02-16,Polonnaruwa,2
204,2007,7,2007-02-10,2007-02-16,Badulla,1
205,2007,7,2007-02-10,2007-02-16,Monaragala,0
206,2007,7,2007-02-10,2007-02-16,Ratnapura,2
207,2007,7,2007-02-10,2007-02-16,Kegalle,2
208,2007,7,2007-02-10,2007-02-16,Kalmune,0
209,2007,8,2007-02-17,2007-02-23,Colombo,28
210,2007,8,2007-02-17,2007-02-23,Gampaha,8
211,2007,8,2007-02-17,2007-02-23,Kalutara,7
212,2007,8,2007-02-17,2007-02-23,Kandy,5
213,2007,8,2007-02-17,2007-02-23,Matale,0
214,2007,8,2007-02-17,2007-02-23,NuwaraEliya,0
215,2007,8,2007-02-17,2007-02-23,Galle,4
216,2007,8,2007-02-17,2007-02-23,Hambanthota,1
217,2007,8,2007-02-17,2007-02-23,Matara,2
218,2007,8,2007-02-17,2007-02-23,Jaffna,0
219,2007,8,2007-02-17,2007-02-23,Kilinochchi,0
220,2007,8,2007-02-17,2007-02-23,Mannar,0
221,2007,8,2007-02-17,2007-02-23,Vavuniya,2
222,2007,8,2007-02-17,2007-02-23,Mullaitivu,0
223,2007,8,2007-02-17,2007-02-23,Batticaloa,1
224,2007,8,2007-02-17,2007-02-23,Ampara,0
225,2007,8,2007-02-17,2007-02-23,Trincomalee,1
226,2007,8,2007-02-17,2007-02-23,Kurunegala,4
227,2007,8,2007-02-17,2007-02-23,Puttalam,3
228,2007,8,2007-02-17,2007-02-23,Anuradhapura,1
229,2007,8,2007-02-17,2007-02-23,Polonnaruwa,1
230,2007,8,2007-02-17,2007-02-23,Badulla,0
231,2007,8,2007-02-17,2007-02-23,Monaragala,0
232,2007,8,2007-02-17,2007-02-23,Ratnapura,2
233,2007,8,2007-02-17,2007-02-23,Kegalle,2
234,2007,8,2007-02-17,2007-02-23,Kalmune,0
235,2007,9,2007-02-24,2007-03-02,Colombo,20
236,2007,9,2007-02-24,2007-03-02,Gampaha,5
237,2007,9,2007-02-24,2007-03-02,Kalutara,5
238,2007,9,2007-02-24,2007-03-02,Kandy,7
239,2007,9,2007-02-24,2007-03-02,Matale,1
